time;density
0;1.0
1;8.630427156428711E10
2;1.7180022901461133E11
3;2.5649544291242773E11
4;3.403974129133457E11
5;4.2351356843221484E11
6;5.058512693009961E11
7;5.87417806420458E11
8;6.682204024057812E11
9;7.482662122261123E11
10;8.27562323838125E11
11;9.061157588136523E11
12;9.839334729614375E11
13;1.0610223569430596E12
14;1.1373892368830947E12
15;1.2130408749735654E12
16;1.2879839700727158E12
17;1.3622251582981924E12
18;1.435771013614665E12
19;1.5086280484159375E12
20;1.5808027141016182E12
